Message,XPath,XML Tag,Type,MinOccurs,MaxOccurs
pacs.010.001.06,/Document,Document,Document,1,1
pacs.010.001.06,/Document/FIDrctDbt,FIDrctDbt,FinancialInstitutionDirectDebitV06,1,1
pacs.010.001.06,/Document/FIDrctDbt/GrpHdr,GrpHdr,GroupHeader119,1,1
pacs.010.001.06,/Document/FIDrctDbt/GrpHdr/MsgId,MsgId,Max35Text,1,1
pacs.010.001.06,/Document/FIDrctDbt/GrpHdr/CreDtTm,CreDtTm,ISODateTime,1,1
pacs.010.001.06,/Document/FIDrctDbt/GrpHdr/NbOfTxs,NbOfTxs,Max15NumericText,1,1
pacs.010.001.06,/Document/FIDrctDbt/GrpHdr/CtrlSum,CtrlSum,DecimalNumber,0,1
pacs.010.001.06,/Document/FIDrctDbt/GrpHdr/InstgAgt,InstgAgt,BranchAndFinancialInstitutionIdentification8,0,1
pacs.010.001.06,/Document/FIDrctDbt/GrpHdr/InstgAgt/FinInstnId,FinInstnId,FinancialInstitutionIdentification23,1,1
pacs.010.001.06,/Document/FIDrctDbt/GrpHdr/InstgAgt/FinInstnId/BICFI,BICFI,BICFIDec2014Identifier,0,1
pacs.010.001.06,/Document/FIDrctDbt/GrpHdr/InstgAgt/FinInstnId/ClrSysMmbId,ClrSysMmbId,ClearingSystemMemberIdentification2,0,1
pacs.010.001.06,/Document/FIDrctDbt/GrpHdr/InstgAgt/FinInstnId/ClrSysMmbId/ClrSysId,ClrSysId,ClearingSystemIdentification2Choice,0,1
pacs.010.001.06,/Document/FIDrctDbt/GrpHdr/InstgAgt/FinInstnId/ClrSysMmbId/ClrSysId/Cd,Cd,ExternalClearingSystemIdentification1Code,1,1
pacs.010.001.06,/Document/FIDrctDbt/GrpHdr/InstgAgt/FinInstnId/ClrSysMmbId/ClrSysId/Prtry,Prtry,Max35Text,1,1
pacs.010.001.06,/Document/FIDrctDbt/GrpHdr/InstgAgt/FinInstnId/ClrSysMmbId/MmbId,MmbId,Max35Text,1,1
pacs.010.001.06,/Document/FIDrctDbt/GrpHdr/InstgAgt/FinInstnId/LEI,LEI,LEIIdentifier,0,1
pacs.010.001.06,/Document/FIDrctDbt/GrpHdr/InstgAgt/FinInstnId/Nm,Nm,Max140Text,0,1
pacs.010.001.06,/Document/FIDrctDbt/GrpHdr/InstgAgt/FinInstnId/PstlAdr,PstlAdr,PostalAddress27,0,1
pacs.010.001.06,/Document/FIDrctDbt/GrpHdr/InstgAgt/FinInstnId/PstlAdr/AdrTp,AdrTp,AddressType3Choice,0,1
pacs.010.001.06,/Document/FIDrctDbt/GrpHdr/InstgAgt/FinInstnId/PstlAdr/AdrTp/Cd,Cd,AddressType2Code,1,1
pacs.010.001.06,/Document/FIDrctDbt/GrpHdr/InstgAgt/FinInstnId/PstlAdr/AdrTp/Prtry,Prtry,GenericIdentification30,1,1
pacs.010.001.06,/Document/FIDrctDbt/GrpHdr/InstgAgt/FinInstnId/PstlAdr/AdrTp/Prtry/Id,Id,Exact4AlphaNumericText,1,1
pacs.010.001.06,/Document/FIDrctDbt/GrpHdr/InstgAgt/FinInstnId/PstlAdr/AdrTp/Prtry/Issr,Issr,Max35Text,1,1
pacs.010.001.06,/Document/FIDrctDbt/GrpHdr/InstgAgt/FinInstnId/PstlAdr/AdrTp/Prtry/SchmeNm,SchmeNm,Max35Text,0,1
pacs.010.001.06,/Document/FIDrctDbt/GrpHdr/InstgAgt/FinInstnId/PstlAdr/CareOf,CareOf,Max140Text,0,1
pacs.010.001.06,/Document/FIDrctDbt/GrpHdr/InstgAgt/FinInstnId/PstlAdr/Dept,Dept,Max70Text,0,1
pacs.010.001.06,/Document/FIDrctDbt/GrpHdr/InstgAgt/FinInstnId/PstlAdr/SubDept,SubDept,Max70Text,0,1
pacs.010.001.06,/Document/FIDrctDbt/GrpHdr/InstgAgt/FinInstnId/PstlAdr/StrtNm,StrtNm,Max140Text,0,1
pacs.010.001.06,/Document/FIDrctDbt/GrpHdr/InstgAgt/FinInstnId/PstlAdr/BldgNb,BldgNb,Max16Text,0,1
pacs.010.001.06,/Document/FIDrctDbt/GrpHdr/InstgAgt/FinInstnId/PstlAdr/BldgNm,BldgNm,Max140Text,0,1
pacs.010.001.06,/Document/FIDrctDbt/GrpHdr/InstgAgt/FinInstnId/PstlAdr/Flr,Flr,Max70Text,0,1
pacs.010.001.06,/Document/FIDrctDbt/GrpHdr/InstgAgt/FinInstnId/PstlAdr/UnitNb,UnitNb,Max16Text,0,1
pacs.010.001.06,/Document/FIDrctDbt/GrpHdr/InstgAgt/FinInstnId/PstlAdr/PstBx,PstBx,Max16Text,0,1
pacs.010.001.06,/Document/FIDrctDbt/GrpHdr/InstgAgt/FinInstnId/PstlAdr/Room,Room,Max70Text,0,1
pacs.010.001.06,/Document/FIDrctDbt/GrpHdr/InstgAgt/FinInstnId/PstlAdr/PstCd,PstCd,Max16Text,0,1
pacs.010.001.06,/Document/FIDrctDbt/GrpHdr/InstgAgt/FinInstnId/PstlAdr/TwnNm,TwnNm,Max140Text,0,1
pacs.010.001.06,/Document/FIDrctDbt/GrpHdr/InstgAgt/FinInstnId/PstlAdr/TwnLctnNm,TwnLctnNm,Max140Text,0,1
pacs.010.001.06,/Document/FIDrctDbt/GrpHdr/InstgAgt/FinInstnId/PstlAdr/DstrctNm,DstrctNm,Max140Text,0,1
pacs.010.001.06,/Document/FIDrctDbt/GrpHdr/InstgAgt/FinInstnId/PstlAdr/CtrySubDvsn,CtrySubDvsn,Max35Text,0,1
pacs.010.001.06,/Document/FIDrctDbt/GrpHdr/InstgAgt/FinInstnId/PstlAdr/Ctry,Ctry,CountryCode,0,1
pacs.010.001.06,/Document/FIDrctDbt/GrpHdr/InstgAgt/FinInstnId/PstlAdr/AdrLine,AdrLine,Max70Text,0,7
pacs.010.001.06,/Document/FIDrctDbt/GrpHdr/InstgAgt/FinInstnId/Othr,Othr,GenericFinancialIdentification1,0,1
pacs.010.001.06,/Document/FIDrctDbt/GrpHdr/InstgAgt/FinInstnId/Othr/Id,Id,Max35Text,1,1
pacs.010.001.06,/Document/FIDrctDbt/GrpHdr/InstgAgt/FinInstnId/Othr/SchmeNm,SchmeNm,FinancialIdentificationSchemeName1Choice,0,1
pacs.010.001.06,/Document/FIDrctDbt/GrpHdr/InstgAgt/FinInstnId/Othr/SchmeNm/Cd,Cd,ExternalFinancialInstitutionIdentification1Code,1,1
pacs.010.001.06,/Document/FIDrctDbt/GrpHdr/InstgAgt/FinInstnId/Othr/SchmeNm/Prtry,Prtry,Max35Text,1,1
pacs.010.001.06,/Document/FIDrctDbt/GrpHdr/InstgAgt/FinInstnId/Othr/Issr,Issr,Max35Text,0,1
pacs.010.001.06,/Document/FIDrctDbt/GrpHdr/InstgAgt/BrnchId,BrnchId,BranchData5,0,1
pacs.010.001.06,/Document/FIDrctDbt/GrpHdr/InstgAgt/BrnchId/Id,Id,Max35Text,0,1
