Message,XPath,XML Tag,Type,MinOccurs,MaxOccurs
pacs,/Document,Document,Document,1,1
pacs,/Document/FIToFIPmtStsRpt,FIToFIPmtStsRpt,FIToFIPaymentStatusReportV12,1,1
pacs,/Document/FIToFIPmtStsRpt/GrpHdr,GrpHdr,GroupHeader101,1,1
pacs,/Document/FIToFIPmtStsRpt/GrpHdr/MsgId,MsgId,Max35Text,1,1
pacs,/Document/FIToFIPmtStsRpt/GrpHdr/CreDtTm,CreDtTm,ISODateTime,1,1
pacs,/Document/FIToFIPmtStsRpt/GrpHdr/InstgAgt,InstgAgt,BranchAndFinancialInstitutionIdentification6,0,1
pacs,/Document/FIToFIPmtStsRpt/GrpHdr/InstgAgt/FinInstnId,FinInstnId,FinancialInstitutionIdentification18,1,1
pacs,/Document/FIToFIPmtStsRpt/GrpHdr/InstgAgt/FinInstnId/BICFI,BICFI,BICFIDec2014Identifier,0,1
pacs,/Document/FIToFIPmtStsRpt/GrpHdr/InstgAgt/FinInstnId/ClrSysMmbId,ClrSysMmbId,ClearingSystemMemberIdentification2,0,1
pacs,/Document/FIToFIPmtStsRpt/GrpHdr/InstgAgt/FinInstnId/ClrSysMmbId/ClrSysId,ClrSysId,ClearingSystemIdentification2Choice,0,1
pacs,/Document/FIToFIPmtStsRpt/GrpHdr/InstgAgt/FinInstnId/ClrSysMmbId/ClrSysId/Cd,Cd,ExternalClearingSystemIdentification1Code,1,1
pacs,/Document/FIToFIPmtStsRpt/GrpHdr/InstgAgt/FinInstnId/ClrSysMmbId/ClrSysId/Prtry,Prtry,Max35Text,1,1
pacs,/Document/FIToFIPmtStsRpt/GrpHdr/InstgAgt/FinInstnId/ClrSysMmbId/MmbId,MmbId,Max35Text,1,1
pacs,/Document/FIToFIPmtStsRpt/GrpHdr/InstgAgt/FinInstnId/LEI,LEI,LEIIdentifier,0,1
pacs,/Document/FIToFIPmtStsRpt/GrpHdr/InstgAgt/FinInstnId/Nm,Nm,Max140Text,0,1
pacs,/Document/FIToFIPmtStsRpt/GrpHdr/InstgAgt/FinInstnId/PstlAdr,PstlAdr,PostalAddress24,0,1
pacs,/Document/FIToFIPmtStsRpt/GrpHdr/InstgAgt/FinInstnId/PstlAdr/AdrTp,AdrTp,AddressType3Choice,0,1
pacs,/Document/FIToFIPmtStsRpt/GrpHdr/InstgAgt/FinInstnId/PstlAdr/AdrTp/Cd,Cd,AddressType2Code,1,1
pacs,/Document/FIToFIPmtStsRpt/GrpHdr/InstgAgt/FinInstnId/PstlAdr/AdrTp/Prtry,Prtry,GenericIdentification30,1,1
pacs,/Document/FIToFIPmtStsRpt/GrpHdr/InstgAgt/FinInstnId/PstlAdr/AdrTp/Prtry/Id,Id,Exact4AlphaNumericText,1,1
pacs,/Document/FIToFIPmtStsRpt/GrpHdr/InstgAgt/FinInstnId/PstlAdr/AdrTp/Prtry/Issr,Issr,Max35Text,1,1
pacs,/Document/FIToFIPmtStsRpt/GrpHdr/InstgAgt/FinInstnId/PstlAdr/AdrTp/Prtry/SchmeNm,SchmeNm,Max35Text,0,1
pacs,/Document/FIToFIPmtStsRpt/GrpHdr/InstgAgt/FinInstnId/PstlAdr/Dept,Dept,Max70Text,0,1
pacs,/Document/FIToFIPmtStsRpt/GrpHdr/InstgAgt/FinInstnId/PstlAdr/SubDept,SubDept,Max70Text,0,1
pacs,/Document/FIToFIPmtStsRpt/GrpHdr/InstgAgt/FinInstnId/PstlAdr/StrtNm,StrtNm,Max70Text,0,1
pacs,/Document/FIToFIPmtStsRpt/GrpHdr/InstgAgt/FinInstnId/PstlAdr/BldgNb,BldgNb,Max16Text,0,1
